datum,spieltag,heimteam,gastteam,tore_heim,tore_gast
02.11.2024,11,SpVgg Greuther Fürth,SV Darmstadt 98,1,5
02.11.2024,11,Hertha BSC,1. FC Köln,0,1
03.11.2024,11,Hamburger SV,1. FC Nürnberg,1,1
03.11.2024,11,1. FC Kaiserslautern,1. FC Magdeburg,2,2
03.11.2024,11,SC Paderborn 07,Eintracht Braunschweig,0,0
08.11.2024,12,1. FC Nürnberg,1. FC Kaiserslautern,0,0
08.11.2024,12,Eintracht Braunschweig,Hamburger SV,3,1
09.11.2024,12,1. FC Köln,SpVgg Greuther Fürth,1,0
09.11.2024,12,SV Darmstadt 98,Hertha BSC,3,1
09.11.2024,12,1. FC Magdeburg,SSV Ulm 1846,0,0
09.11.2024,12,Fortuna Düsseldorf,SC Paderborn 07,1,1
10.11.2024,12,FC Schalke 04,SSV Jahn Regensburg,2,0
10.11.2024,12,Karlsruher SC,Preußen Münster,1,1
10.11.2024,12,SV Elversberg,Hannover 96,3,1
22.11.2024,13,Preußen Münster,1. FC Köln,0,1
22.11.2024,13,SC Paderborn 07,1. FC Nürnberg,3,2
23.11.2024,13,Hertha BSC,SSV Ulm 1846,2,2
23.11.2024,13,Fortuna Düsseldorf,SV Elversberg,0,2
23.11.2024,13,Hannover 96,SV Darmstadt 98,1,2
23.11.2024,13,SpVgg Greuther Fürth,Karlsruher SC,2,3
23.11.2024,13,Hamburger SV,FC Schalke 04,2,2
24.11.2024,13,1. FC Kaiserslautern,Eintracht Braunschweig,3,2
24.11.2024,13,SSV Jahn Regensburg,1. FC Magdeburg,0,1
29.11.2024,14,FC Schalke 04,1. FC Kaiserslautern,0,3
29.11.2024,14,1. FC Magdeburg,Hertha BSC,1,3
30.11.2024,14,1. FC Köln,Hannover 96,2,2
30.11.2024,14,Eintracht Braunschweig,SSV Jahn Regensburg,0,0
30.11.2024,14,SV Elversberg,SC Paderborn 07,1,3
30.11.2024,14,SV Darmstadt 98,Preußen Münster,0,0
01.12.2024,14,1. FC Nürnberg,Fortuna Düsseldorf,2,2
01.12.2024,14,Karlsruher SC,Hamburger SV,1,3
01.12.2024,14,SSV Ulm 1846,SpVgg Greuther Fürth,1,1
06.12.2024,15,SC Paderborn 07,FC Schalke 04,2,4
06.12.2024,15,SV Elversberg,1. FC Nürnberg,2,1
07.12.2024,15,1. FC Kaiserslautern,Karlsruher SC,3,1
07.12.2024,15,Hannover 96,SSV Ulm 1846,3,2
07.12.2024,15,SpVgg Greuther Fürth,Hertha BSC,2,1
07.12.2024,15,Preußen Münster,1. FC Magdeburg,1,2
