platz,team,spiele,siege,unentschieden,niederlagen,tore_erzielt,tore_erhalten,tordiff,punkte
1,1. FC Köln,34,18,7,9,53,38,15,61
2,Hamburger SV,34,16,11,7,78,44,34,59
3,SV Elversberg,34,16,10,8,64,37,27,58
4,SC Paderborn 07,34,15,10,9,56,46,10,55
5,1. FC Magdeburg,34,14,11,9,64,52,12,53
6,Fortuna Düsseldorf,34,14,11,9,57,52,5,53
7,1. FC Kaiserslautern,34,15,8,11,56,55,1,53
8,Karlsruher SC,34,14,10,10,57,55,2,52
9,Hannover 96,34,13,12,9,41,36,5,51
10,1. FC Nürnberg,34,14,6,14,60,57,3,48
11,Hertha BSC,34,12,8,14,49,51,-2,44
12,SV Darmstadt 98,34,11,9,14,56,55,1,42
13,SpVgg Greuther Fürth,34,10,9,15,45,59,-14,39
14,FC Schalke 04,34,10,8,16,52,62,-10,38
15,Preußen Münster,34,8,12,14,40,43,-3,36
16,Eintracht Braunschweig,34,8,11,15,38,64,-26,35
17,SSV Ulm 1846,34,6,12,16,36,48,-12,30
18,SSV Jahn Regensburg,34,6,7,21,23,71,-48,25
